pin,address,city,sqft,neighborhood,ward,district,entity,delinquent,land_use_code,classification
16-23-308-041-0000,1858 S HARDING AVE,CHICAGO,3321,NORTH LAWNDALE,24,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$31,072.45",2-03,STRUCTURE ‐ RESIDENTIAL
16-23-313-044-0000,1846 S LAWNDALE AVE,CHICAGO,3000,NORTH LAWNDALE,24,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$20,533.29",2-03,STRUCTURE ‐ RESIDENTIAL
16-27-202-006-0000,4245 W CERMAK RD,CHICAGO,6239,NORTH LAWNDALE,22,2,CCLBA ‐ FOCUS COMMUNITY (CITY),"$121,395.04",2-12,STRUCTURE ‐ MIXED USE
25-14-101-044-0000,10430 S MARYLAND AVE,CHICAGO,2586,PULLMAN,9,4,CCLBA ‐ ROSELAND FOCUS,"$33,663.14",2-11,STRUCTURE ‐ RESIDENTIAL
25-14-101-049-0000,10440 S MARYLAND AVE,CHICAGO,2604,PULLMAN,9,4,CCLBA ‐ ROSELAND FOCUS,"$42,001.53",2-11,STRUCTURE ‐ RESIDENTIAL
25-14-101-056-0000,10454 S MARYLAND AVE,CHICAGO,4520,PULLMAN,9,4,CCLBA ‐ ROSELAND FOCUS,"$60,547.63",2-11,STRUCTURE ‐ RESIDENTIAL
25-15-405-054-0000,10752 S LANGLEY AVE,CHICAGO,1791,PULLMAN,9,4,CCLBA ‐ ROSELAND FOCUS,"$28,806.70",2-11,STRUCTURE ‐ RESIDENTIAL
25-34-116-014-0000,13290 S VERNON AVE,CHICAGO,5032,RIVERDALE,9,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$11,253.01",2-03,STRUCTURE ‐ RESIDENTIAL
25-34-301-006-0000,329 E 134TH ST,CHICAGO,7488,RIVERDALE,9,5,OPENLANDS ‐ LITTLE CALUMET RIVER/CITY OF CHICAGO DEPT OF PLANNING & DEVELOPMENT,"$30,781.14",2-03,STRUCTURE ‐ RESIDENTIAL
25-34-310-016-0000,255 E 136TH ST,CHICAGO,4408,RIVERDALE,9,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$5,829.42",2-03,STRUCTURE ‐ RESIDENTIAL
25-03-432-003-0000,9411 S CHAMPLAIN AVE,CHICAGO,3103,ROSELAND,9,4,CITY OF CHICAGO ‐ DEPT OF PLANNING & DEVELOPMENT,"$86,483.82",2-11,STRUCTURE ‐ RESIDENTIAL
25-09-411-033-0000,10056 S WENTWORTH AVE,CHICAGO,4034,ROSELAND,9,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$8,950.43",2-03,STRUCTURE ‐ RESIDENTIAL
25-09-415-002-0000,10004 S STATE ST,CHICAGO,4166,ROSELAND,9,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$24,151.57",2-11,STRUCTURE ‐ RESIDENTIAL
25-09-419-008-0000,10127 S YALE AVE,CHICAGO,5678,ROSELAND,9,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$17,240.01",2-03,STRUCTURE ‐ RESIDENTIAL
25-09-419-009-0000,10131 S YALE AVE,CHICAGO,4694,ROSELAND,9,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$12,136.88",2-04,STRUCTURE ‐ RESIDENTIAL
25-09-421-029-0000,10124 S PERRY AVE,CHICAGO,3732,ROSELAND,9,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,658.12",2-03,STRUCTURE ‐ RESIDENTIAL
25-09-424-025-0000,328 W 102ND PL,CHICAGO,3137,ROSELAND,9,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$14,580.65",2-11,STRUCTURE ‐ RESIDENTIAL
25-09-428-026-0000,10230 S PERRY AVE,CHICAGO,4122,ROSELAND,9,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$8,132.20",2-03,STRUCTURE ‐ RESIDENTIAL
25-10-308-048-0000,60 E 100TH PL,CHICAGO,3111,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$18,484.84",2-11,STRUCTURE ‐ RESIDENTIAL
25-10-316-043-0000,56 E 102ND ST,CHICAGO,4173,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$6,076.02",2-03,STRUCTURE ‐ RESIDENTIAL
25-10-322-001-0000,10201 S STATE ST,CHICAGO,5132,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$22,198.38",2-03,STRUCTURE ‐ RESIDENTIAL
25-10-323-002-0000,10245 S STATE ST,CHICAGO,3373,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$14,811.63",2-03,STRUCTURE ‐ RESIDENTIAL
25-10-324-046-0000,10222 S INDIANA AVE,CHICAGO,7255,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,790.44",2-03,STRUCTURE ‐ RESIDENTIAL
25-15-112-027-0000,10406 S INDIANA AVE,CHICAGO,3368,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,913.81",2-03,STRUCTURE ‐ RESIDENTIAL
25-15-118-025-0000,10609 S STATE ST,CHICAGO,4240,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$13,910.61",2-11,STRUCTURE ‐ RESIDENTIAL
25-15-118-061-0000,10610 S WABASH AVE,CHICAGO,3836,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,094.45",2-03,STRUCTURE ‐ RESIDENTIAL
25-15-120-064-0000,10562 S EDBROOKE AVE,CHICAGO,3401,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$13,378.65",2-03,STRUCTURE ‐ RESIDENTIAL
25-15-301-017-0000,10749 S WABASH AVE,CHICAGO,4015,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$12,108.79",2-03,STRUCTURE ‐ RESIDENTIAL
25-15-303-006-0000,153 E 107TH ST,CHICAGO,4248,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$80,293.02",2-11,STRUCTURE ‐ RESIDENTIAL
25-15-303-030-0000,10742 S INDIANA AVE,CHICAGO,4118,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$30,307.85",2-03,STRUCTURE ‐ RESIDENTIAL
25-15-304-003-0000,209 E 107TH ST,CHICAGO,3744,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$16,065.07",2-11,STRUCTURE ‐ RESIDENTIAL
25-15-310-048-0000,10017 S MICHIGAN AVE,CHICAGO,3511,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$36,636.14",2-12,STRUCTURE ‐ MIXED USE
25-15-311-027-0000,10822 S INDIANA AVE,CHICAGO,4233,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$28,994.63",2-11,STRUCTURE ‐ RESIDENTIAL
25-15-316-002-0000,10907 S STATE ST,CHICAGO,4723,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$14,489.19",2-11,STRUCTURE ‐ RESIDENTIAL
25-15-317-034-0000,10952 S MICHIGAN AVE,CHICAGO,3017,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$59,271.28",2-12,STRUCTURE ‐ MIXED USE
25-15-319-005-0000,10913 S EDBROOKE AVE,CHICAGO,4796,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$24,212.47",2-11,STRUCTURE ‐ RESIDENTIAL
25-15-319-011-0000,10935 S EDBROOKE AVE,CHICAGO,3636,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$38,655.76",2-11,STRUCTURE ‐ RESIDENTIAL
25-15-319-013-0000,10941 S EDBROOKE AVE,CHICAGO,3639,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$8,025.54",2-11,STRUCTURE ‐ RESIDENTIAL
25-15-319-023-0000,10914 S INDIANA AVE,CHICAGO,4805,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$52,503.78",2-11,STRUCTURE ‐ RESIDENTIAL
25-15-322-022-0000,11026 S EDBROOKE AVE,CHICAGO,4453,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$33,710.92",2-11,STRUCTURE ‐ RESIDENTIAL
25-16-200-028-0000,305 W 103RD PL,CHICAGO,4111,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$4,027.72",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-209-016-0000,119 W 104TH PL,CHICAGO,4691,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$14,767.44",2-11,STRUCTURE ‐ RESIDENTIAL
25-16-212-060-0000,304 W 106TH PL,CHICAGO,3108,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$6,620.36",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-214-015-0000,10545 S LASALLE ST,CHICAGO,3386,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$17,755.19",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-216-055-0000,10612 S STATE ST,CHICAGO,3664,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,558.69",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-217-024-0000,255 W 106TH PL,CHICAGO,4707,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$25,671.20",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-217-081-0000,10652 S WENTWORTH AVE,CHICAGO,4706,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$13,092.86",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-217-087-0000,250 W 107TH ST,CHICAGO,4084,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$8,835.65",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-219-011-0000,120 W 107TH ST,CHICAGO,4396,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,289.55",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-220-002-0000,10636 S LAFAYETTE AVE,CHICAGO,6365,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$20,497.28",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-400-062-0000,10718 S WENTWORTH AVE,CHICAGO,4701,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$15,935.08",2-11,STRUCTURE ‐ RESIDENTIAL
25-16-402-026-0000,224 W 108TH ST,CHICAGO,3737,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$12,420.00",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-404-006-0000,107 W 107TH ST,CHICAGO,4686,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$7,716.46",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-405-018-0000,10443 S PERRY AVE,CHICAGO,4578,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,859.42",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-410-030-0000,10804 S STATE ST,CHICAGO,4506,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$6,909.06",2-03,STRUCTURE ‐ RESIDENTIAL
25-16-424-003-0000,251 W 110TH ST,CHICAGO,3112,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$21,372.67",2-11,STRUCTURE ‐ RESIDENTIAL
25-16-425-037-0000,102 W 110TH PL,CHICAGO,4178,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$9,189.49",2-11,STRUCTURE ‐ RESIDENTIAL
25-16-428-016-0000,213 W 110TH PL,CHICAGO,2979,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$13,928.57",2-11,STRUCTURE ‐ RESIDENTIAL
25-16-428-020-0000,203 W 110TH PL,CHICAGO,2979,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,282.53",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-202-026-0000,124 W 111TH PL,CHICAGO,3884,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,929.92",2-11,STRUCTURE ‐ RESIDENTIAL
25-21-207-037-0000,20 W 112TH ST,CHICAGO,4605,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$17,660.23",2-11,STRUCTURE ‐ RESIDENTIAL
25-21-208-016-0000,330 W 112TH PL,CHICAGO,5275,ROSELAND,34,5,CHICAGO TRANSIT AUTHORITY ‐ RED LINE EXTENSION,"$7,542.09",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-214-014-0000,107 W 112TH PL,CHICAGO,3143,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$31,789.67",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-216-014-0000,11347 S STEWART AVE,CHICAGO,4438,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$9,234.49",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-217-008-0000,11335 S HARVARD AVE,CHICAGO,4349,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$5,631.57",2-11,STRUCTURE ‐ RESIDENTIAL
25-21-227-009-0000,11437 S YALE AVE,CHICAGO,3882,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$11,492.83",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-227-014-0000,11426 S WENTWORTH AVE,CHICAGO,4609,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$8,909.13",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-230-022-0000,40 W 115TH ST,CHICAGO,6211,ROSELAND,34,5,CHICAGO TRANSIT AUTHORITY ‐ RED LINE EXTENSION,"$19,413.14",2-11,STRUCTURE ‐ RESIDENTIAL
25-21-230-026-0000,26 W 115TH ST,CHICAGO,4970,ROSELAND,34,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$16,601.51",2-03,STRUCTURE ‐ RESIDENTIAL
25-22-103-011-0000,11123 S EDBROOKE AVE,CHICAGO,5284,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$42,988.24",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-103-012-0000,11127 S EDBROOKE AVE,CHICAGO,5285,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$25,088.18",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-108-015-0000,11251 S EDBROOKE AVE,CHICAGO,3713,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$31,084.88",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-108-024-0000,11222 S INDIANA AVE,CHICAGO,5205,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$39,886.46",2-03,STRUCTURE ‐ RESIDENTIAL
25-22-109-030-0000,11314 S MICHIGAN AVE,CHICAGO,3009,ROSELAND,9,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (ISW CORRIDOR),"$63,883.70",2-12,STRUCTURE ‐ MIXED USE
25-22-112-042-0000,11350 S EDBROOKE AVE,CHICAGO,5741,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$19,157.70",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-113-005-0000,11311 S EDBROOKE AVE,CHICAGO,3692,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$26,402.44",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-113-011-0000,11331 S EDBROOKE AVE,CHICAGO,4513,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$49,734.37",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-113-045-0000,11338 S INDIANA AVE,CHICAGO,5095,ROSELAND,9,5,CCLBA ‐ ROSELAND FOCUS,"$31,859.82",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-117-007-0000,11351 S CALUMET AVE,CHICAGO,3742,ROSELAND,9,5,CCLBA ‐ FOCUS COMMUNITY (CITY),"$17,102.69",2-03,STRUCTURE ‐ RESIDENTIAL
21-31-112-020-0000,8010 S SAGINAW AVE,CHICAGO,3111,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$31,647.27",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-200-015-0000,7941 S BURNHAM AVE,CHICAGO,3109,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$20,352.25",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-202-015-0000,7941 S ESCANABA AVE,CHICAGO,3105,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$17,545.81",2-03,STRUCTURE ‐ RESIDENTIAL
21-31-202-020-0000,7953 S ESCANABA AVE,CHICAGO,4471,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$48,621.48",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-204-041-0000,3052 E 79TH PL,CHICAGO,3151,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$17,816.77",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-213-011-0000,8031 S HOUSTON AVE,CHICAGO,3112,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$45,480.83",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-216-006-0000,8115 S BURNHAM AVE,CHICAGO,3111,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$48,499.32",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-216-021-0000,8153 S BURNHAM AVE,CHICAGO,2997,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$15,882.53",2-03,STRUCTURE ‐ RESIDENTIAL
21-31-217-015-0000,8135 S MUSKEGON AVE,CHICAGO,3114,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$12,974.32",2-03,STRUCTURE ‐ RESIDENTIAL
21-31-220-015-0000,2950 E 82ND ST,CHICAGO,3038,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$27,788.90",2-03,STRUCTURE ‐ RESIDENTIAL
21-31-225-004-0000,2769 E 82ND ST,CHICAGO,3098,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$8,179.93",2-03,STRUCTURE ‐ RESIDENTIAL
21-31-302-032-0000,8332 S KINGSTON AVE,CHICAGO,3162,SOUTH CHICAGO,7,4,CCLBA ‐ RESIDENTIAL STRUCTURES,"$17,083.29",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-304-017-0000,8339 S COLFAX AVE,CHICAGO,3775,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$25,872.10",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-322-005-0000,8513 S MARQUETTE AVE,CHICAGO,3130,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$15,044.14",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-400-005-0000,8300 S BALTIMORE AVE,CHICAGO,3524,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$24,361.35",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-400-020-0000,8316 S MUSKEGON AVE,CHICAGO,4973,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$12,167.63",2-11,STRUCTURE ‐ RESIDENTIAL
21-31-409-019-0000,8457 S BURNHAM AVE,CHICAGO,3006,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$10,338.46",2-03,STRUCTURE ‐ RESIDENTIAL
21-32-201-026-0000,8312 S BUFFALO AVE,CHICAGO,6229,SOUTH CHICAGO,10,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$15,935.13",2-11,STRUCTURE ‐ RESIDENTIAL
21-32-201-028-0000,8320 S BUFFALO AVE,CHICAGO,3116,SOUTH CHICAGO,10,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$17,700.36",2-11,STRUCTURE ‐ RESIDENTIAL
21-32-201-035-0000,8340 S BUFFALO AVE,CHICAGO,3116,SOUTH CHICAGO,10,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$6,810.50",2-11,STRUCTURE ‐ RESIDENTIAL
21-32-204-030-0000,8414 S BURLEY AVE,CHICAGO,3097,SOUTH CHICAGO,10,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$17,896.73",2-11,STRUCTURE ‐ RESIDENTIAL
26-05-101-029-0000,8732 S MACKINAW AVE,CHICAGO,3526,SOUTH CHICAGO,10,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$3,673.15",2-11,STRUCTURE ‐ RESIDENTIAL
26-06-112-016-0000,8839 S COLFAX AVE,CHICAGO,3472,SOUTH CHICAGO,7,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$10,524.22",2-03,STRUCTURE ‐ RESIDENTIAL
26-06-202-005-0000,8713 S EXCHANGE AVE,CHICAGO,3488,SOUTH CHICAGO,10,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$27,833.66",2-11,STRUCTURE ‐ RESIDENTIAL
26-06-202-009-0000,8723 S EXCHANGE AVE,CHICAGO,3488,SOUTH CHICAGO,10,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$48,093.12",2-11,STRUCTURE ‐ RESIDENTIAL
26-06-203-026-0000,8708 S HOUSTON AVE,CHICAGO,3475,SOUTH CHICAGO,10,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$41,801.51",2-11,STRUCTURE ‐ RESIDENTIAL
26-06-204-026-0000,8704 S BALTIMORE AVE,CHICAGO,4230,SOUTH CHICAGO,10,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$30,765.47",2-11,STRUCTURE ‐ RESIDENTIAL
26-06-405-035-0000,3134 E 92ND ST,CHICAGO,2761,SOUTH CHICAGO,10,4,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (ISW CORRIDOR),"$28,447.41",2-12,STRUCTURE ‐ MIXED USE
20-26-403-032-0000,1400 E 76TH ST,CHICAGO,4121,SOUTH SHORE,8,3,CCLBA ‐ FOCUS COMMUNITY (CITY),"$17,697.37",2-11,STRUCTURE ‐ RESIDENTIAL
21-30-400-005-0000,2813 E 77TH ST,CHICAGO,2829,SOUTH SHORE,7,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$16,143.08",2-12,STRUCTURE ‐ MIXED USE
21-30-403-013-0000,7767 S EXCHANGE AVE,CHICAGO,4972,SOUTH SHORE,7,4,CCLBA ‐ FOCUS COMMUNITY (CITY),"$10,212.53",2-03,STRUCTURE ‐ RESIDENTIAL
25-08-228-006-0000,9823 S CARPENTER ST,CHICAGO,4302,WASHINGTON HEIGHTS,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$17,763.41",2-03,STRUCTURE ‐ RESIDENTIAL
25-09-319-018-0000,10110 S WALLACE ST,CHICAGO,6261,WASHINGTON HEIGHTS,9,4,CCLBA ‐ RESIDENTIAL STRUCTURES,"$26,963.09",2-03,STRUCTURE ‐ RESIDENTIAL
25-09-326-003-0000,10207 S UNION AVE,CHICAGO,4384,WASHINGTON HEIGHTS,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$15,095.85",2-03,STRUCTURE ‐ RESIDENTIAL
20-16-206-035-0000,5627 S PERRY AVE,CHICAGO,2359,WASHINGTON PARK,3,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$16,895.23",2-11,STRUCTURE ‐ RESIDENTIAL
20-16-215-009-0000,5727 S LAFAYETTE AVE,CHICAGO,2579,WASHINGTON PARK,20,2,CCLBA ‐ RESIDENTIAL STRUCTURES,"$13,172.86",2-11,STRUCTURE ‐ RESIDENTIAL
16-15-209-035-0000,4220 W ADAMS ST,CHICAGO,3040,WEST GARFIELD PARK,28,1,CCLBA ‐ CITY OF CHICAGO MMRP AREA,"$19,388.77",2-11,STRUCTURE ‐ RESIDENTIAL
25-20-420-024-0000,11822 S SANGAMON ST,CHICAGO,3137,WEST PULLMAN,34,5,CCLBA ‐ CITY OF CHICAGO MMRP AREA,"$9,332.01",2-11,STRUCTURE ‐ RESIDENTIAL
25-21-303-020-0000,743 W 116TH ST,CHICAGO,4601,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$21,604.50",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-306-024-0000,558 W 116TH ST,CHICAGO,4114,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$12,703.43",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-331-001-0000,11801 S LOWE AVE,CHICAGO,3757,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$10,163.40",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-404-049-0000,11568 S LASALLE ST,CHICAGO,6025,WEST PULLMAN,34,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$22,012.55",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-404-050-0000,11570 S LASALLE ST,CHICAGO,4819,WEST PULLMAN,34,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$6,550.12",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-406-003-0000,11521 S PERRY AVE,CHICAGO,6006,WEST PULLMAN,34,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$6,939.85",2-11,STRUCTURE ‐ RESIDENTIAL
25-21-406-036-0000,11542 S LAFAYETTE AVE,CHICAGO,3269,WEST PULLMAN,34,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$8,241.21",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-408-028-0000,11644 S HARVARD AVE,CHICAGO,4648,WEST PULLMAN,34,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$32,708.52",2-11,STRUCTURE ‐ RESIDENTIAL
25-21-409-033-0000,324 W 117TH ST,CHICAGO,3679,WEST PULLMAN,34,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$13,305.78",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-412-013-0000,142 W 117TH ST,CHICAGO,3621,WEST PULLMAN,34,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$9,937.07",2-03,STRUCTURE ‐ RESIDENTIAL
